UPS 3 Day Select,,,,,,,
"The ideal mix of economy and guaranteed time delivery, 3 Day Select features delivery within three business days",,,,,,,
throughout the continuous 48 states.,,,,,,,

Any fraction of a pound over the weight shown takes the next higher rate.,,,,,,,
,,,,,,,
Weight,Zone 302,Zone 303,Zone 304,Zone 305,Zone 306,Zone 307,Zone 308
112 ,$48.80,$59.00,$70.20,$81.60,$95.40,$104.80,$115.70
113 ,$49.20,$59.40,$70.70,$82.30,$96.20,$105.70,$116.70
114 ,$49.60,$59.90,$71.30,$83.00,$97.00,$106.60,$117.70
115 ,$50.00,$60.40,$71.90,$83.70,$97.80,$107.50,$118.70
116 ,$50.40,$61.00,$72.50,$84.40,$98.60,$108.30,$119.70
117 ,$50.80,$61.50,$73.10,$85.10,$99.40,$109.20,$120.60
118 ,$51.20,$62.00,$73.70,$85.80,$100.20,$110.10,$121.60
119 ,$51.60,$62.40,$74.30,$86.40,$101.00,$110.90,$122.50
120 ,$52.00,$62.90,$74.90,$87.10,$101.80,$111.80,$123.50
121 ,$52.40,$63.40,$75.50,$87.80,$102.70,$112.70,$124.50
122 ,$52.80,$63.90,$76.10,$88.50,$103.50,$113.60,$125.50
123 ,$53.20,$64.40,$76.70,$89.20,$104.30,$114.50,$126.50
124 ,$53.60,$64.90,$77.30,$89.90,$105.10,$115.40,$127.50
125 ,$54.00,$65.40,$77.80,$90.60,$105.90,$116.20,$128.50
126 ,$54.40,$65.90,$78.40,$91.30,$106.70,$117.00,$129.50
127 ,$54.80,$66.40,$79.00,$92.00,$107.60,$117.80,$130.50
128 ,$55.20,$66.90,$79.60,$92.70,$108.40,$118.70,$131.50
129 ,$55.60,$67.40,$80.20,$93.40,$109.20,$119.60,$132.50
130 ,$56.00,$67.90,$80.80,$94.10,$110.00,$120.50,$133.50
131 ,$56.40,$68.30,$81.30,$94.70,$110.80,$121.40,$134.50
132 ,$56.80,$68.80,$81.90,$95.40,$111.60,$122.30,$135.50
133 ,$57.20,$69.30,$82.50,$96.10,$112.40,$123.20,$136.50
